channel,date,message_id,sender,text
designhunters,2026-06-15T11:01:45+00:00,7151,-1001090349566,"** Требуется Junior Web Designer**

**Компания:** FxPro

**О роли:** Мы ищем проактивного и ответственного младшего веб-дизайнера, который присоединится к нашей команде. Вы будете создавать визуальный контент и интерфейсы для крупнейших международных брендов, таких как Microsoft, Google, HP, IBM и Samsung.

**Чем предстоит заниматься:**
— Визуальный дизайн: разработка привлекательного и эффективного дизайна для веб-сайтов и приложений.
— UX/UI: проектирование удобных пользовательских интерфейсов.
— Контент: создание визуальных материалов, поддерживающих цели маркетинговых кампаний.
— Качество: обеспечение соответствия готового продукта требованиям клиента и стандартам качества.

**Что мы ожидаем от кандидата:**
— Навыки: понимание принципов современного веб-дизайна и пользовательских интерфейсов.
— Креативность: способность находить нестандартные решения и внимание к деталям.
— Обучаемость: высокая мотивация к развитию и готовность осваивать новые инструменты.
— Soft Skills: коммуникабельность, проактивность и ответственность в командной работе.

**Условия и преимущества:**
— Масштаб: работа с проектами для мировых технологических гигантов.
— Развитие: реальные возможности для профессионального роста в международной команде.
— Корпоративная культура: инновационная среда, где ценятся идеи и инициатива.
— Заработная плата: обговаривается индивидуально по результатам собеседования.

**Важная информация о процессе отбора:**
— Каждое  рассматривается рекрутером, а не алгоритмами.
— Процесс включает: видео-интервью, выполнение небольшого тестового задания и живое знакомство с командой (Zoom/офис).
— Мы не проводим интервью через Telegram или мессенджеры и не делаем офферы без живого общения.

**Бюджет:** по договоренности

**Контакты для связи:** @Misha_Nemkovich

 [а](http://t.me/Zakaz_Design_Bot)"
designhunters,2026-06-15T11:01:45+00:00,7150,-1001090349566,"**Lead UX/UI Designer**
в **DEVXED** — IT-компания, специализирующаяся на разработке высоконагруженных B2B веб-сервисов для автоматизации e-commerce.
Ключевые навыки: английский Intermediate+.
**Минск, офис. Гибкий график.**
Ищет Наталья Кулаженко, её [пост на LinkedIn](https://www.linkedin.com/posts/nataliya-kulazhenko-550177169_%D0%B2%D1%81%D0%B5%D0%BC-%D0%BF%D1%80%D0%B8%D0%B2%D0%B5%D1%82-%D0%BB%D0%B5%D1%82%D0%BE-%D0%BE%D1%82%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D0%B5-%D0%B2%D1%80%D0%B5%D0%BC%D1%8F-%D0%BD%D0%B5-share-7468226066021785600-qXOI/)."
designhunters,2026-06-15T10:36:48+00:00,7149,-1001090349566,"[**Получи грант до 3,48 млн на обучение дизайну**](https://ya.cc/t/AwkvksfH9fqokq/?erid=j1SUmgrc7xyzycKGM)

Поступай на дизайн в Центральный университет с грантом.

Для учеников 10–11-х классов и СПО. Освой графический, UI/UX и продуктовый дизайн. Создавай визуальные концепты будущего.

На программе студенты получают фундаментальную базу, развивают прикладные навыки, приобретают опыт работы над реальными проектами, собирают портфолио и строят связи внутри дизайн-сообщества 

[**Подать заявку**](https://ya.cc/t/E1NnRZkp9fqonL/?erid=j1SUmgrc7xyzycKGM)

#реклама 16+[
cu.ru](https://ya.cc/t/AwkvksfH9fqokq/?erid=j1SUmgrc7xyzycKGM)
[О рекламодателе](https://ya.cc/t/DNycc0Ff9fqomj/?erid=j1SUmgrc7xyzycKGM)"
designhunters,2026-06-15T06:02:19+00:00,7148,-1001090349566,"UX-редактор, Т-Банк 

Ищем редактора, который будет прорабатывать логику и тексты интерфейсов в приложении Т-Банка

Задачи: 
- продумывать логику фичей вместе с дизайнером и продактом
- писать UX-тексты: онбординги, заголовки, кнопки, алерты и другие элементы интерфейса
- думать про метрики и экосистемную пользу для клиента
- ходить на исследования, тестировать текст и дизайн-решения в целом
- развивать культуру интерфейсных текстов и продуктовый подход в своей команде

, офис 

**Контакт:** [откликнуться](https://www.tbank.ru/career/back-office/vacancy/moscow/ux-redaktor11/4401bd58-1a17-4623-aa6e-bc76c11c79a3/)"
designhunters,2026-06-15T06:02:19+00:00,7147,-1001090349566,"3D иллюстратор/Графический дизайнер, ВТБ 

Задачи: 
- разработка 3D-иллюстраций для цифровых продуктов, баннеров и презентаций;
- выстраивание и поддержка единой визуальной системы лайфстайл-продукта;
- подготовка презентаций для внутренних коммуникаций;
- участие в развитии фирменного стиля и айдентики;

**Требования:**
-уверенное владение Cinema 4D: сплайны, полигональное моделирование, пространственные композиции и иконки
- знание Redshift: настройка материалов, работа со светом и рендерингом
- владение Adobe CC: Photoshop, Illustrator, After Effects

**Формат работы:** гибрид

**Контакт:** [откликнуться](https://rabota-vtb.ru/career/133735508)"
designhunters,2026-06-15T05:41:13+00:00,7146,-1001090349566,"[**Курс ""Дизайн карточек для WB и Ozon"". Бесплатно и с нуля**](https://ya.cc/t/tg2-H-CR9fbXRB/?erid=j1SUn9Jupp5rHFuBw)

Дизайнер карточек для маркетплейсов —  востребованная и доходная профессия 💰
Научись ей бесплатно!

- Бесплатный доступ
- Разбор ДЗ от наставника
- Мощные кейсы в портфолио 

[**Узнать больше**](https://ya.cc/t/tg2-H-CR9fbXRB/?erid=j1SUn9Jupp5rHFuBw)

#реклама 16+[
yudaevschool24.online](https://ya.cc/t/tg2-H-CR9fbXRB/?erid=j1SUn9Jupp5rHFuBw)
[О рекламодателе](https://ya.cc/t/KS_LIi7F9fbXRc/?erid=j1SUn9Jupp5rHFuBw)"
designhunters,2026-06-15T04:01:46+00:00,7142,-1001090349566,"**Ведущий дизайнер в event-агентство **

Дизайнер-визуализатор в event-агентство Feerique Event & Emotions

**Feerique** – лидеры рынка масштабных частных ивентов в России. Мы создаём события, на которых эмоции становятся арт-объектом.
Сейчас мы расширяем направление частных и коммерческих  мероприятий и ищем в команду дизайнера, который будет превращать идеи и референсы в сильный визуал.
‍
**Что нужно будет делать с нами в этой роли:**
- Работать с креативной командой — от первых набросков до утверждения финального вида проекта.
- Разрабатывать визуальные решения для частных и корпоративных мероприятий.
- Подбирать референсы и отрисовывать их, прорабатывать 3D визуализации.
- Составлять технические задания и чертежи для производства.
‍
**Ожидания от твоего опыта:**
- Имеешь опыт работы в сфере дизайна интерьера, выставок или event-дизайна от 2-х лет и собранное портфолио проектов.
- Умеешь работать в 3DMAX, Autocad, Adobe Photoshop, Adobe Illustrator, SketchUp (опционально).
- Обладаешь креативным мышлением, чувствуешь композицию, объем, свет и умеешь передавать атмосферу будущего события.
- Умеешь работать в команде — слышать креатора и продюсера, дополнять их идеи визуально.
- Внимателен к деталям и аккуратен в сроках в условиях ненормированного графика и сжатых сроков.
‍
**Что мы предлагаем:**
- Зарплату и бонусы за реализацию проекта.
- Работу в сильной команде с масштабными проектами по всему миру, возможность реализовывать самые смелые идеи и видеть результат;
- Гибридный график: 2 дня удаленки в несезон (октябрь-апрель), 1 день удаленки в сезон (май-сентябрь);
- Уютный pet-friendly офис на Китай-городе, командировки по России и не только;
- Ежегодный оплачиваемый отпуск – 31 календарный день;
- Один раз в год – оплата 70% обучения для повышения профессиональных компетенций.
‍
**Откликнуться **[**тут**](https://docs.google.com/forms/d/1fUlqZAAMcaRtXeLdyJyy0uslqOV8IN6VwdKM-SiupyQ/preview)"
designhunters,2026-06-15T04:01:46+00:00,7141,-1001090349566,"[​​](https://t.me/elenasnowgold)**SMM-менеджер в компанию **

Для компании бренда верхней женской одежды с более чем 10-летним опытом, нужен **SMM-менеджер**, способный превратить социальные сети в узнаваемый бренд. Специалист должен создавать вовлекающий контент и быть заинтересованным в работе.

**Условия:**
Полная удаленная работа.
Первый месяц — тестовый.
Работа с KPI: охваты, подписчики, переходы.
Продукт, который не стыдно продвигать.
Возможность приезжать на фотосессии является преимуществом.
Работа с платформами: Instagram, Threads, Telegram, VK, Max, TikTok.

**Задачи:**
Ведение и развитие аккаунтов в Instagram, Threads, VK (с последующим подключением Max, TikTok, Telegram).
Создание вовлекающего контента из готовых материалов, формирование ТЗ для съемок, минимальный монтаж.
Разработка инфоповодов, рубрик и контента под боли клиентов для Instagram.
Работа с UGC для Instagram.
Полное ведение и развитие группы в VK, включая разработку тем, рубрик, идей для постов, сторис, видео и рекламных публикаций.
Подготовка и публикация контента по контент-плану в VK.
Активная помощь в подготовке и запуске рекламных кампаний в VK.
Анализ аудитории, написание цепляющих текстов, исследование новых болей и смыслов.
Анализ собственной работы по охватам и целевым действиям.
Цель: рост аудитории, вовлеченности, продаж.

**Требования:**
Опыт в SMM VK от 1 года в Fashion-индустрии на указанных площадках.
Умение писать цепляющие тексты и создавать визуальные концепты.
Проактивность, предложение идей по улучшению воронки и внедрению новых инструментов.
Умение управлять своим временем, ресурсом и вдохновением.
Развитые софт-скиллы и договороспособность.

[https://t.me/elenasnowgold](https://t.me/elenasnowgold)"
designhunters,2026-06-14T18:38:08+00:00,7140,-1001090349566,"[**Переходите на новый уровень чистки вместе с Oral-B.**](https://ya.cc/t/z9EPV8h-9fSWXS/?erid=j1SUn7LyLeBi83u2q)

Выберите ту самую щётку. 

[**Купить**](https://ya.cc/t/Y9AQBVEy9fSWY9/?erid=j1SUn7LyLeBi83u2q)

#реклама [
market.yandex.ru](https://ya.cc/t/z9EPV8h-9fSWXS/?erid=j1SUn7LyLeBi83u2q)
[О рекламодателе](https://ya.cc/t/jDCAcgt09fSWXi/?erid=j1SUn7LyLeBi83u2q)"
designhunters,2026-06-14T16:04:38+00:00,7139,-1001090349566,"**Senior Дизайнер продукта в Яндекс Лавку, зарплата не указана, Москва, гибрид** 🍁

Яндекс Лавка — уже не просто доставка за 15 минут. Мы открыли большие дарксторы, где можно сделать покупки на неделю, научились готовить хот-доги, заезжаем по пути в аптеки и цветочные магазины. С решением сложных задач нам помогает AI-ассистент.

__Если вам нравятся разнообразие задач, быстрый темп и работа в компактной, но эффективной команде, приходите развивать Лавку вместе с нами.__


**Какие задачи вас ждут**

**Развитие опыта выбора и покупки‍**
Вы будете строить архитектуру поиска и каталога, которая объединит ассортимент большой и маленькой Лавки, магазинов «по пути» и горячей кухни. Нужно будет упрощать корзину и процесс оформления заказа, развивать трекинг с учётом новых способов доставки.

**Интеграция AI‍**
В прошлом году мы запустили AI-ассистента и теперь думаем над тем, как его развивать. Следующий шаг — понять, как органично вписать его возможности в пользовательский путь.

**Мы ждём, что вы**
— Опираетесь в работе на данные и исследования, умеете аргументировать и защищать свои решения
— Цените визуальную составляющую и собираете эстетичные решения
— Проактивны: болеете за свой продукт и команду, сами инициируете улучшения

[__Анкета__](https://yandex.ru/jobs/vacancies/starshiy-veduschiy-dizayner-produkta-v-lavku-46212)

👁 [__Swipe Jobs – Агрегатор вакансий в мини-аппе__](https://t.me/swipejobsbot)"
